Sponsor Name,BioGuide ID,Party,State,District,Number of Bills Sponsored,Top Policy Areas,Bill Titles,Bill Policy Areas,Bill Cosponsors Count,Bill Committee Count,Bill Committee Details URL,Bill Statuses,Bill Links
"Rep. Khanna, Ro [D-CA-17]",K000389,D,CA,17,2,Government Operations and Politics(1); Armed Forces and National Security(1),"Information Technology Modernization Centers of Excellence Program Act | H.R. 9626, To direct the Department of Defense to develop a plan for the establishment of a secure computing and data storage environment for the testing of artificial intelligence trained on biological data, and for other purposes.",Government Operations and Politics | Armed Forces and National Security,3 | 0,1 | 1,https://api.congress.gov/v3/bill/116/hr/5901/committees?format=json | https://api.congress.gov/v3/bill/118/hr/9626/committees?format=json,Enacted | Defunct,https://www.congress.gov/bill/116th-congress/house-bill/5901/text?s=1&r=17&q=%7B%22search%22%3A%5B%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%5D%7D | https://www.congress.gov/bill/118th-congress/house-bill/9626
"Rep. Lee, Barbara [D-CA-12]",L000551,D,CA,12,3,Education(1); Government Operations and Politics(1); Health(1),"Computer Science for All Act of 2023 | Department of Peacebuilding Act of 2023, Sec. 107 (""Office of Technology for Peace"") | Health Equity and Accountability Act of 2024, Sec 1013 (""Task Force on Preventing Bias in AI and Algorithms"")",Education | Government Operations and Politics | Health,28 | 49 | 41,1 | 1 | 13,https://api.congress.gov/v3/bill/118/hr/4174/committees?format=json | https://api.congress.gov/v3/bill/118/hr/1111/committees?format=json | https://api.congress.gov/v3/bill/118/hr/9161/committees?format=json,Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4174 | https://www.congress.gov/bill/118th-congress/house-bill/1111 | https://www.congress.gov/bill/118th-congress/house-bill/9161
"Rep. Lieu, Ted [D-CA-36]",L000582,D,CA,36,5,"Crime and Law Enforcement(2); Science, Technology, Communications(2); Health(1)","Facial Recognition Act of 2023 | AI Grand Challenges Act of 2024 | To direct the Director of the National Institutes of Health to establish a grant program to facilitate research regarding the use of generative artificial intelligence in health care, and for other purposes. | National AI Commission Act | AI Fraud Deterrence Act","Crime and Law Enforcement | Science, Technology, Communications | Health | Science, Technology, Communications | Crime and Law Enforcement",5 | 5 | 2 | 10 | 1,2 | 1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/hr/6092/committees?format=json | https://api.congress.gov/v3/bill/118/hr/9475/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7381/committees?format=json | https://api.congress.gov/v3/bill/118/hr/4223/committees?format=json | https://api.congress.gov/v3/bill/118/hr/10125/committees?format=json,Defunct | Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/6092 | https://www.congress.gov/bill/118th-congress/house-bill/9475/text | https://www.congress.gov/bill/118th-congress/house-bill/7381 | https://www.congress.gov/bill/118th-congress/house-bill/4223 | https://www.congress.gov/bill/118th-congress/house-bill/10125
"Rep. Lofgren, Zoe [D-CA-18]",L000397,D,CA,18,3,"Science, Technology, Communications(1); Public Lands and Natural Resources(1); Environmental Protection(1)","Workforce for AI Trust Act | National Wildland Fire Risk Reduction Program Act, Sec. 7 (Responsibilities of Program Agencies) | Supercomputing for Safer Chemicals Act","Science, Technology, Communications | Public Lands and Natural Resources | Environmental Protection",7 | 2 | 0,1 | 2 | 1,https://api.congress.gov/v3/bill/118/hr/9215/committees?format=json | https://api.congress.gov/v3/bill/118/hr/4584/committees?format=json | https://api.congress.gov/v3/bill/118/hr/3457/committees?format=json,Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9215 | https://www.congress.gov/bill/118th-congress/house-bill/4584 | https://www.congress.gov/bill/118th-congress/house-bill/3457
"Rep. Porter, Katie [D-CA-47]",P000618,D,CA,47,1,"Science, Technology, Communications(1)",Digital Social Platform Transparency Act,"Science, Technology, Communications",0,1,https://api.congress.gov/v3/bill/118/hr/9126/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9126
"Rep. Schiff, Adam B. [D-CA-28]",S001150,D,CA,28,1,Government Operations and Politics(1),AI Ads Act ,Government Operations and Politics,25,1,https://api.congress.gov/v3/bill/118/hr/9639/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9639
"Rep. Schiff, Adam B. [D-CA-30]",S001150,D,CA,28,1,Commerce(1),Generative AI Copyright Disclosure Act of 2024,Commerce,0,1,https://api.congress.gov/v3/bill/118/hr/7913/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7913
"Rep. Takano, Mark [D-CA-39]",T000472,D,CA,39,1,Crime and Law Enforcement(1),Justice in Forensic Algorithms Act of 2024,Crime and Law Enforcement,1,2,https://api.congress.gov/v3/bill/118/hr/7394/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7394
"Rep. Torres, Norma J. [D-CA-35]",T000474,D,CA,35,1,"Science, Technology, Communications(1)",International Artificial Intelligence Research Partnership Act of 2024,"Science, Technology, Communications",0,1,https://api.congress.gov/v3/bill/118/hr/8700/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8700
"Rep. Waters, Maxine [D-CA-43]",W000187,D,CA,43,2,Finance and Financial Sector(2),AI Act of 2024 | Responsible AI Disclosure Act of 2024,Finance and Financial Sector | Finance and Financial Sector,2 | 1,1 | 1,https://api.congress.gov/v3/bill/118/hr/10262/committees?format=json | https://api.congress.gov/v3/bill/118/hr/10263/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/10262/text | https://www.congress.gov/bill/118th-congress/house-bill/10263/text
"Sen. Butler, Laphonza R. [D-CA]",B001320,D,CA,,1,Education(1),Workforce of the Future Act of 2024,Education,2,1,https://api.congress.gov/v3/bill/118/s/5031/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/5031
"Sen. Padilla, Alex [D-CA]",P000145,D,CA,,1,"Science, Technology, Communications(1)",Improving Atmospheric River Forecasts Act,"Science, Technology, Communications",1,1,https://api.congress.gov/v3/bill/118/s/5361/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/5361/text
"Rep. Calvert, Ken [R-CA-41]",C000059,R,CA,41,1,Health(1),HEARTS Act of 2025,Health,16,1,https://api.congress.gov/v3/bill/119/hr/1291/committees?format=json,Proposed,https://www.congress.gov/bill/119th-congress/house-bill/1291/text
"Rep. Kiley, Kevin [R-CA-3]",K000401,R,CA,3,1,"Science, Technology, Communications(1)",Ensuring Safe and Ethical AI Development Through SAFE AI Research Grants,"Science, Technology, Communications",1,1,https://api.congress.gov/v3/bill/118/hr/6088/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/6088
"Rep. Kim, Young [R-CA-40]",K000397,R,CA,40,1,Public Lands and Natural Resources(1),"Wildfire Technology Demonstration, Evaluation, Modernization, and Optimization Act",Public Lands and Natural Resources,12,2,https://api.congress.gov/v3/bill/118/hr/4235/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4235
"Rep. LaMalfa, Doug [R-CA-1]",L000578,R,CA,1,1,Agriculture and Food(1),Advancing Automation Research and Development in Agriculture Act,Agriculture and Food,18,1,https://api.congress.gov/v3/bill/118/hr/4173/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4173
"Rep. Obernolte, Jay [R-CA-23]",O000019,R,CA,23,3,"Science, Technology, Communications(2); Armed Forces and National Security(1)",Create AI Act of 2025 | AI for National Security Act | AI Advancement and Reliability Act of 2024,"Science, Technology, Communications | Armed Forces and National Security | Science, Technology, Communications",27 | 2 | 11,1 | 1 | 1,https://api.congress.gov/v3/bill/119/hr/2385/committees?format=json | https://api.congress.gov/v3/bill/118/hr/1718/committees?format=json | https://api.congress.gov/v3/bill/118/hr/9497/committees?format=json,Proposed | Defunct | Defunct,https://www.congress.gov/bill/119th-congress/house-bill/2385/text | https://www.congress.gov/bill/118th-congress/house-bill/1718 | https://www.congress.gov/bill/118th-congress/house-bill/9497
"Rep. Caraveo, Yadira [D-CO-8]",C001134,D,CO,8,1,"Science, Technology, Communications(1)",Nucleic Acid Standards for Biosecurity Act,"Science, Technology, Communications",1,1,https://api.congress.gov/v3/bill/118/hr/9194/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9194/text
"Rep. Crow, Jason [D-CO-6]",C001121,D,CO,6,1,International Affairs(1),Bureau of Industry and Security Information Technology Modernization Act,International Affairs,3,1,https://api.congress.gov/v3/bill/118/hr/9247/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9247
"Rep. Pettersen, Brittany [D-CO-7]",P000620,D,CO,7,1,Finance and Financial Sector(1),Preventing Deep Fake Scams Act,Finance and Financial Sector,10,1,https://api.congress.gov/v3/bill/118/hr/5808/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/5808
