Sponsor Name,BioGuide ID,Party,State,District,Number of Bills Sponsored,Top Policy Areas,Bill Titles,Bill Policy Areas,Bill Cosponsors Count,Bill Committee Count,Bill Committee Details URL,Bill Statuses,Bill Links
"Sen. Warren, Elizabeth [D-MA]",W000817,D,MA,,4,Armed Forces and National Security(2); Commerce(2),"Protecting AI and Cloud Competition in Defense Act of 2024 | To prohibit the Secretary of Defense from entering into information technology contracts with entities that provide certain services to China, and for other purposes. | Sec. 2501. Corporate Citizenship and Ownership, Digital Consumer Protection Commission Act of 2023 | Sec. 2412. Duty of Care, Digital Consumer Protection Commission Act of 2023",Armed Forces and National Security | Armed Forces and National Security | Commerce | Commerce,1 | 1 | 1 | 1,1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/5436/committees?format=json | https://api.congress.gov/v3/bill/118/s/5436/committees?format=json | https://api.congress.gov/v3/bill/118/s/2597/committees?format=json | https://api.congress.gov/v3/bill/118/s/2597/committees?format=json,Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/5436/text | https://www.congress.gov/bill/118th-congress/senate-bill/5436/text | https://www.congress.gov/bill/118th-congress/senate-bill/2597 | https://www.congress.gov/bill/118th-congress/senate-bill/2597
"Sen. Cardin, Benjamin L. [D-MD]",C000141,D,MD,,1,International Affairs(1),"American Foreign Affairs Talent Expansion Act: Diversity in Diplomacy and Development, Section 112 (Mitigating bias in artificial intelligence use.)",International Affairs,0,1,https://api.congress.gov/v3/bill/118/s/5581/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/5581/text
"Rep. Dingell, Debbie [D-MI-6]",D000624,D,MI,6,1,Commerce(1),MEANS Act,Commerce,3,1,https://api.congress.gov/v3/bill/118/hr/774/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/774
"Rep. Slotkin, Elissa [D-MI-7]",S001208,D,MI,7,3,Armed Forces and National Security(2); Crime and Law Enforcement(1),Integrating New Technologies to Empower Law Enforcement at Our Borders Act | To require a briefing on the national security threats associated with Chinese autonomous ground vehicles operating in the United States. | Veterans Online Information and Cybersecurity Empowerment Act of 2024,Crime and Law Enforcement | Armed Forces and National Security | Armed Forces and National Security,4 | 0 | 0,1 | 1 | 1,https://api.congress.gov/v3/bill/118/hr/6391/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6896/committees?format=json | https://api.congress.gov/v3/bill/118/hr/9583/committees?format=json,Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/6391 | https://www.congress.gov/bill/118th-congress/house-bill/6896 | https://www.congress.gov/bill/118th-congress/house-bill/9583
"Rep. Stevens, Haley M. [D-MI-11]",S001215,D,MI,11,3,"Science, Technology, Communications(1); Education(1); Energy(1)",DOE and NSF Interagency Research Act | Data Science and Literacy Act of 2023 | Shifting Forward Vehicle Technologies Research and Development Act,"Science, Technology, Communications | Education | Energy",2 | 11 | 1,2 | 1 | 1,https://api.congress.gov/v3/bill/118/hr/2980/committees?format=json | https://api.congress.gov/v3/bill/118/hr/1050/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5090/committees?format=json,Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/2980 | https://www.congress.gov/bill/118th-congress/house-bill/1050 | https://www.congress.gov/bill/118th-congress/house-bill/5090
"Rep. Tlaib, Rashida [D-MI-12]",T000481,D,MI,12,1,"Arts, Culture, Religion(1)",Living Wage for Musicians Act of 2024,"Arts, Culture, Religion",5,1,https://api.congress.gov/v3/bill/118/hr/7763/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7763/text
"Sen. Peters, Gary C. [D-MI]",P000595,D,MI,,12,Government Operations and Politics(8); Armed Forces and National Security(2); Crime and Law Enforcement(1),"Transparent Automated Governance Act | Digital Defense Content Provenance Act of 2023 | Countering Human Trafficking Act of 2021, Section 4 (""Specialized Initiatives"") | Artificial Intelligence Training for the Acquisition Workforce Act | Federal Information Security Modernization Act of 2023, Sec. 14 (""Automation and Artificial Intelligence"") | AI LEAD Act | AI Leadership Training Act | Technology Workforce Framework Act of 2024 | Digital Defense Content Provenance Act of 2023 | Federal Improvement in Technology Procurement Act | Promoting Responsible Evaluation and Procurement to Advance Readiness for Enterprise-wide Deployment for Artificial Intelligence Act | Modernizing Data Practices to Improve Government Act","Government Operations and Politics | Armed Forces and National Security | Crime and Law Enforcement | Government Operations and Politics | Government Operations and Politics | Government Operations and Politics | Government Operations and Politics | Science, Technology, Communications | Armed Forces and National Security | Government Operations and Politics | Government Operations and Politics | Government Operations and Politics",2 | 0 | 3 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 1,1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/1865/committees?format=json | https://api.congress.gov/v3/bill/118/s/3504/committees?format=json | https://api.congress.gov/v3/bill/117/s/2991/committees?format=json | https://api.congress.gov/v3/bill/117/s/2551/committees?format=json | https://api.congress.gov/v3/bill/118/s/2251/committees?format=json | https://api.congress.gov/v3/bill/118/s/2293/committees?format=json | https://api.congress.gov/v3/bill/118/s/1564/committees?format=json | https://api.congress.gov/v3/bill/118/s/3792/committees?format=json | https://api.congress.gov/v3/bill/118/s/2222/committees?format=json | https://api.congress.gov/v3/bill/118/s/4066/committees?format=json | https://api.congress.gov/v3/bill/118/s/4495/committees?format=json | https://api.congress.gov/v3/bill/118/s/5109/committees?format=json,Defunct | Defunct | Enacted | Enacted | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1865 | https://www.congress.gov/bill/118th-congress/senate-bill/3504 | https://www.congress.gov/bill/117th-congress/senate-bill/2991/text?s=6&r=3&q=%7B%22search%22%3A%5B%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%5D%7D | https://www.congress.gov/bill/117th-congress/senate-bill/2551/text?s=6&r=2&q=%7B%22search%22%3A%5B%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%5D%7D | https://www.congress.gov/bill/118th-congress/senate-bill/2251 | https://www.congress.gov/bill/118th-congress/senate-bill/2293 | https://www.congress.gov/bill/118th-congress/senate-bill/1564 | https://www.congress.gov/bill/118th-congress/senate-bill/3792 | https://www.congress.gov/bill/118th-congress/senate-bill/2222 | https://www.congress.gov/bill/118th-congress/senate-bill/4066/text | https://www.congress.gov/bill/118th-congress/senate-bill/4495/text | https://www.congress.gov/bill/118th-congress/senate-bill/5109
"Sen. Stabenow, Debbie [D-MI]",S000770,D,MI,,2,Agriculture and Food(2),Rural Prosperity and Food Security Act of 2024 | Rural Prosperity and Food Security Act of 2024,Agriculture and Food | Agriculture and Food,0 | 0,1 | 1,https://api.congress.gov/v3/bill/118/s/5335/committees?format=json | https://api.congress.gov/v3/bill/118/s/5335/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/5335/text | https://www.congress.gov/bill/118th-congress/senate-bill/5335/text
"Rep. Moolenaar, John R. [R-MI-2]",M001194,R,MI,2,1,Immigration(1),Economic Security and Diplomacy Act of 2024,Immigration,0,1,https://api.congress.gov/v3/bill/118/hr/10100/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/10100
"Sen. Klobuchar, Amy [D-MN]",K000367,D,MN,,4,Government Operations and Politics(3); Commerce(1),AI Transparency in Elections Act of 2024 | Preventing Algorithmic Collusion Act of 2024 | Protect Elections from Deceptive AI Act | Preparing Election Administrators for AI Act,Government Operations and Politics | Commerce | Government Operations and Politics | Government Operations and Politics,1 | 6 | 4 | 2,1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/3875/committees?format=json | https://api.congress.gov/v3/bill/118/s/3686/committees?format=json | https://api.congress.gov/v3/bill/118/s/2770/committees?format=json | https://api.congress.gov/v3/bill/118/s/3897/committees?format=json,Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/3875/text | https://www.congress.gov/bill/118th-congress/senate-bill/3686 | https://www.congress.gov/bill/118th-congress/senate-bill/2770 | https://www.congress.gov/bill/118th-congress/senate-bill/3897
"Rep. Graves, Sam [R-MO-6]",G000546,R,MO,6,6,Transportation and Public Works(6),"Securing Growth and Robust Leadership in American Aviation Act, Sec. 1024 (""Technology Review of Artificial Intelligence and Machine Learning Technologies"") | Securing Growth and Robust Leadership in American Aviation Act, Sec. 1028 (""Air Traffic Control Training"") | Securing Growth and Robust Leadership in American Aviation Act, Sec. 908 (""Part 107 Waiver Improvements"") | Coast Guard Authorization Act of 2023, Sec. 212 (""Report on Establishment of an Unmanned Systems Capabilities Office"") | Coast Guard Authorization Act of 2024, Title III (""Shipping and Navigation""), Sec. 342 (""Establishment of National Advisory Committee on Autonomous Maritime Systems"") | Coast Guard Authorization Act of 2024, Title II (""Coast Guard""), Sec. 207 (""Report on establishment of unmanned systems capabilities office"")",Transportation and Public Works | Transportation and Public Works | Transportation and Public Works | Transportation and Public Works | Transportation and Public Works | Transportation and Public Works,3 | 3 | 3 | 3 | 4 | 4,2 | 2 | 2 | 1 | 2 | 2,https://api.congress.gov/v3/bill/118/hr/3935/committees?format=json | https://api.congress.gov/v3/bill/118/hr/3935/committees?format=json | https://api.congress.gov/v3/bill/118/hr/3935/committees?format=json | https://api.congress.gov/v3/bill/118/hr/2741/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7659/committees?format=json | https://api.congress.gov/v3/bill/118/hr/7659/committees?format=json,Enacted | Enacted | Enacted | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3935 | https://www.congress.gov/bill/118th-congress/house-bill/3935 | https://www.congress.gov/bill/118th-congress/house-bill/3935 | https://www.congress.gov/bill/118th-congress/house-bill/2741 | https://www.congress.gov/bill/118th-congress/house-bill/7659 | https://www.congress.gov/bill/118th-congress/house-bill/7659
"Rep. Smith, Jason [R-MO-8]",S001195,R,MO,8,1,Health(1),"Health Care Price Transparency Act of 2023, Sec. 301 (""Establishing Requirements With Respect to the Use of Prior Authorization Under Medicare Advantage Plans"")",Health,0,4,https://api.congress.gov/v3/bill/118/hr/4822/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4822
"Sen. Hawley, Josh [R-MO]",H001089,R,MO,,2,"Crime and Law Enforcement(1); Science, Technology, Communications(1)",Decoupling America's Artificial Intelligence Capabilities from China Act of 2025 | A bill to waive immunity under section 230 of the Communications Act of 1934 for claims and charges related to generative artificial intelligence.,"Crime and Law Enforcement | Science, Technology, Communications",0 | 1,1 | 1,https://api.congress.gov/v3/bill/119/s/321/committees?format=json | https://api.congress.gov/v3/bill/118/s/1993/committees?format=json,Proposed | Defunct,https://www.congress.gov/bill/119th-congress/senate-bill/321/text | https://www.congress.gov/bill/118th-congress/senate-bill/1993
"Sen. Schmitt, Eric [R-MO]",S001227,R,MO,,1,"Science, Technology, Communications(1)",Transparency in Bureaucratic Communications Act,"Science, Technology, Communications",0,1,https://api.congress.gov/v3/bill/118/s/5500/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/5500/text
"Rep. Guest, Michael [R-MS-3]",G000591,R,MS,3,1,Government Operations and Politics(1),PATHS Act,Government Operations and Politics,1,1,https://api.congress.gov/v3/bill/118/hr/9459/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9459
"Sen. Wicker, Roger F. [R-MS]",W000437,R,MS,,2,"Public Lands and Natural Resources(1); Science, Technology, Communications(1)","Flood Level Observation, Operations, and Decision Support Act, Section 14 (""National Weather Service hydrologic research fellowship program"") | Tornado Observations Research and Notification Assessment for Development of Operations Act","Public Lands and Natural Resources | Science, Technology, Communications",3 | 10,1 | 1,https://api.congress.gov/v3/bill/117/s/558/committees?format=json | https://api.congress.gov/v3/bill/118/s/1284/committees?format=json,Enacted | Defunct,https://www.congress.gov/bill/117th-congress/senate-bill/558/text?s=6&r=6&q=%7B%22search%22%3A%5B%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%5D%7D | https://www.congress.gov/bill/118th-congress/senate-bill/1284
"Sen. Daines, Steve [R-MT]",D000618,R,MT,,1,Energy(1),"Community and Hydropower Improvement Act, Sec. 4 (Approach to Environmental Review)",Energy,5,1,https://api.congress.gov/v3/bill/118/s/1521/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1521
"Rep. Davis, Donald G. [D-NC-1]",D000230,D,NC,1,2,Agriculture and Food(2),Promoting Precision Agriculture Act | Promoting Precision Agriculture Act of 2023,Agriculture and Food | Agriculture and Food,2 | 6,1 | 1,https://api.congress.gov/v3/bill/119/hr/1985/committees?format=json | https://api.congress.gov/v3/bill/118/hr/1697/committees?format=json,Proposed | Defunct,https://www.congress.gov/bill/119th-congress/house-bill/1985 | https://www.congress.gov/bill/118th-congress/house-bill/1697
"Rep. Foushee, Valerie P. [D-NC-4]",F000477,D,NC,4,1,"Science, Technology, Communications(1)",Expanding AI Voices Act,"Science, Technology, Communications",4,1,https://api.congress.gov/v3/bill/118/hr/9403/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9403
"Rep. Jackson, Jeff [D-NC-14]",J000308,D,NC,14,2,"Science, Technology, Communications(1); International Affairs(1)","To establish in the National Oceanic and Atmospheric Administration a program to improve precipitation forecasts, and for other purposes. | Closing Loopholes for the Overseas Use and Development of Artificial Intelligence Act","Science, Technology, Communications | International Affairs",0 | 9,1 | 1,https://api.congress.gov/v3/bill/118/hr/4913/committees?format=json | https://api.congress.gov/v3/bill/118/hr/4683/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4913 | https://www.congress.gov/bill/118th-congress/house-bill/4683
"Rep. Ross, Deborah K. [D-NC-2]",R000305,D,NC,2,3,"Science, Technology, Communications(2); Commerce(1)",AI Incident Reporting and Security Enhancement Act | Protect Working Musicians Act of 2023 | Secure Artificial Intelligence Act of 2024,"Science, Technology, Communications | Commerce | Science, Technology, Communications",3 | 3 | 1,1 | 1 | 4,https://api.congress.gov/v3/bill/118/hr/9720/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5576/committees?format=json | https://api.congress.gov/v3/bill/118/hr/9737/committees?format=json,Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9720 | https://www.congress.gov/bill/118th-congress/house-bill/5576 | https://www.congress.gov/bill/118th-congress/house-bill/9737
"Rep. Foxx, Virginia [R-NC-5]",F000450,R,NC,5,3,Labor and Employment(3),"To amend and reauthorize the Workforce Innovation and Opportunity Act and the Older Americans Act of 1965. | To amend and reauthorize the Workforce Innovation and Opportunity Act and the Older Americans Act of 1965. | A Stronger Workforce for America Act, Chapter 3 (Performance Accountability)",Labor and Employment | Labor and Employment | Labor and Employment,1 | 1 | 29,3 | 3 | 3,https://api.congress.gov/v3/bill/118/hr/10425/committees?format=json | https://api.congress.gov/v3/bill/118/hr/10425/committees?format=json | https://api.congress.gov/v3/bill/118/hr/6655/committees?format=json,Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/10425/text | https://www.congress.gov/bill/118th-congress/house-bill/10425/text | https://www.congress.gov/bill/118th-congress/house-bill/6655
"Sen. Budd, Ted [R-NC]",B001305,R,NC,,1,Health(1),Strategy for Public Health Preparedness and Response to Artificial Intelligence Threats,Health,1,1,https://api.congress.gov/v3/bill/118/s/2346/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/2346
"Rep. Bacon, Don [R-NE-2]",B001298,R,NE,2,1,Armed Forces and National Security(1),Basic Allowance for Housing Calculation Improvement Act of 2023,Armed Forces and National Security,0,1,https://api.congress.gov/v3/bill/118/hr/5230/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/5230
"Sen. Fischer, Deb [R-NE]",F000463,R,NE,,1,Transportation and Public Works(1),Advanced Aviation Integration Act,Transportation and Public Works,1,1,https://api.congress.gov/v3/bill/118/s/1888/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/1888
"Sen. Ricketts, Pete [R-NE]",R000618,R,NE,,1,Commerce(1),Advisory for AI-Generated Content Act,Commerce,0,1,https://api.congress.gov/v3/bill/118/s/2765/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/2765
"Rep. Pappas, Chris [D-NH-1]",P000614,D,NH,1,2,Health(2),United States-Israel Health Technologies Cooperation Act | HEARTS Act of 2022,Health | Health,67 | 24,1 | 1,https://api.congress.gov/v3/bill/118/hr/4076/committees?format=json | https://api.congress.gov/v3/bill/118/hr/1024/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4076 | https://www.congress.gov/bill/118th-congress/house-bill/1024
"Sen. Shaheen, Jeanne [D-NH]",S001181,D,NH,,2,Health(1); Commerce(1),Diabetes Act | Small Business Broadband and Emerging Information Technology Enhancement Act of 2023,Health | Commerce,1 | 4,1 | 1,https://api.congress.gov/v3/bill/118/s/5502/committees?format=json | https://api.congress.gov/v3/bill/118/s/2677/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/5502/text | https://www.congress.gov/bill/118th-congress/senate-bill/2677
"Rep. Gottheimer, Josh [D-NJ-5]",G000583,D,NJ,5,1,"Science, Technology, Communications(1)",STOP HATE Act of 2023,"Science, Technology, Communications",7,2,https://api.congress.gov/v3/bill/118/hr/6463/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/6463
"Rep. Pallone, Frank, Jr. [D-NJ-6]",P000034,D,NJ,6,1,Commerce(1),Do Not Disturb Act,Commerce,9,1,https://api.congress.gov/v3/bill/118/hr/7116/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7116
"Rep. Watson Coleman, Bonnie [D-NJ-12]",W000822,D,NJ,12,1,Finance and Financial Sector(1),"PAID Act, Sec. 3 (Requirements for Private Passenger Automobile Insurers)",Finance and Financial Sector,4,2,https://api.congress.gov/v3/bill/118/hr/3880/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3880
"Sen. Booker, Cory A. [D-NJ]",B001288,D,NJ,,1,"Science, Technology, Communications(1)",AI Grand Challenges Act of 2024,"Science, Technology, Communications",2,1,https://api.congress.gov/v3/bill/118/s/4236/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/4236/text
"Sen. Menendez, Robert [D-NJ]",M000639,D,NJ,,4,International Affairs(4),"Department of State Authorization Act of 2023, Sec. 303 (""Task force to address artificial intelligence-enabled influence operations"") | Department of State Authorization Act of 2023, Sec. 304 (""Establishment of the Chief Artificial Intelligence Officer of the Department of State"") | Department of State Authorization Act of 2023, Sec. 941 (""Reporting Related to the AUKUS Partnership"") | Department of State Authorization Act of 2023, Sec. 931 (""Priority for Australia and the United Kingdom in Foreign Military Sales and Direct Commercial Sales"")",International Affairs | International Affairs | International Affairs | International Affairs,0 | 0 | 0 | 0,1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/2043/committees?format=json | https://api.congress.gov/v3/bill/118/s/2043/committees?format=json | https://api.congress.gov/v3/bill/118/s/2043/committees?format=json | https://api.congress.gov/v3/bill/118/s/2043/committees?format=json,Defunct | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/2043 | https://www.congress.gov/bill/118th-congress/senate-bill/2043 | https://www.congress.gov/bill/118th-congress/senate-bill/2043 | https://www.congress.gov/bill/118th-congress/senate-bill/2043
"Rep. Kean, Thomas H. [R-NJ-7]",K000398,R,NJ,7,1,"Science, Technology, Communications(1)",Literacy in Future Technologies Artificial Intelligence Act,"Science, Technology, Communications",13,1,https://api.congress.gov/v3/bill/118/hr/9211/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/9211/text
"Rep. Van Drew, Jefferson [R-NJ-2]",V000133,R,NJ,2,1,Transportation and Public Works(1),Advanced Aviation Act,Transportation and Public Works,1,2,https://api.congress.gov/v3/bill/118/hr/220/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/220
"Rep. Stansbury, Melanie Ann [D-NM-1]",S001218,D,NM,1,1,Transportation and Public Works(1),"Rail Worker and Community Safety Act, Sec. 13 (Equipment Inspections)",Transportation and Public Works,51,2,https://api.congress.gov/v3/bill/118/hr/5871/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/5871
"Sen. Heinrich, Martin [D-NM]",H001046,D,NM,,2,"Science, Technology, Communications(1); Energy(1)",CREATE AI Act of 2023 | GRIData Act of 2024,"Science, Technology, Communications | Energy",3 | 2,1 | 1,https://api.congress.gov/v3/bill/118/s/2714/committees?format=json | https://api.congress.gov/v3/bill/118/s/4140/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/2714 | https://www.congress.gov/bill/118th-congress/senate-bill/4140
"Sen. Lujan, Ben Ray [D-NM]",L000570,D,NM,,2,"Science, Technology, Communications(2)",TEST AI Act of 2023 | Advanced Weather Model Computing Development Act,"Science, Technology, Communications | Science, Technology, Communications",5 | 1,1 | 1,https://api.congress.gov/v3/bill/118/s/3162/committees?format=json | https://api.congress.gov/v3/bill/118/s/3642/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/3162 | https://www.congress.gov/bill/118th-congress/senate-bill/3642
"Sen. Cortez Masto, Catherine [D-NV]",C001113,D,NV,,5,"Science, Technology, Communications(2); Immigration(1); Public Lands and Natural Resources(1)","Emerging Innovative Border Technologies Act | Identifying Outputs of Generative Adversarial Networks Act | Western Wildfire Support Act of 2023, Sec. 206 (""Study on Wildfire Detection Equipment and Integration of Artificial Intelligence Technologies"") | Promoting Digital Privacy Technologies Act | DATA Privacy Act","Immigration | Science, Technology, Communications | Public Lands and Natural Resources | Science, Technology, Communications | Commerce",0 | 1 | 0 | 1 | 0,1 | 1 | 1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/5407/committees?format=json | https://api.congress.gov/v3/bill/116/s/2904/committees?format=json | https://api.congress.gov/v3/bill/118/s/1764/committees?format=json | https://api.congress.gov/v3/bill/118/s/3325/committees?format=json | https://api.congress.gov/v3/bill/118/s/3337/committees?format=json,Defunct | Enacted | Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/5407/text | https://www.congress.gov/bill/116th-congress/senate-bill/2904/text | https://www.congress.gov/bill/118th-congress/senate-bill/1764 | https://www.congress.gov/bill/118th-congress/senate-bill/3325 | https://www.congress.gov/bill/118th-congress/senate-bill/3337
"Sen. Rosen, Jacky [D-NV]",R000608,D,NV,,3,"Armed Forces and National Security(1); Civil Rights and Liberties, Minority Issues(1); Housing and Community Development(1)","S.4306, Five AIs Act 2024 | Countering Antisemitism Act, Sec. 8 (Online Antisemitism, Holocaust Denial, and Distortion) | HOME Act of 2024, Sec. 7 (Identification of Unfair Screening Practices)","Armed Forces and National Security | Civil Rights and Liberties, Minority Issues | Housing and Community Development",1 | 38 | 1,1 | 1 | 1,https://api.congress.gov/v3/bill/118/s/4306/committees?format=json | https://api.congress.gov/v3/bill/118/s/4091/committees?format=json | https://api.congress.gov/v3/bill/118/s/3561/committees?format=json,Defunct | Defunct | Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/4306/text | https://www.congress.gov/bill/118th-congress/senate-bill/4091 | https://www.congress.gov/bill/118th-congress/senate-bill/3561
"Rep. Clarke, Yvette D. [D-NY-9]",C001067,D,NY,9,2,Government Operations and Politics(1); Crime and Law Enforcement(1),"REAL Political Advertisements Act | DEEPFAKES Accountability Act, Sec. 2 (""Transparency Requirements"")",Government Operations and Politics | Crime and Law Enforcement,0 | 1,1 | 3,https://api.congress.gov/v3/bill/118/hr/3044/committees?format=json | https://api.congress.gov/v3/bill/118/hr/5586/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3044 | https://www.congress.gov/bill/118th-congress/house-bill/5586
"Rep. Espaillat, Adriano [D-NY-13]",E000297,D,NY,13,1,Government Operations and Politics(1),Candidate Voice Fraud Prohibition Act,Government Operations and Politics,9,1,https://api.congress.gov/v3/bill/118/hr/4611/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/4611
"Rep. Jeffries, Hakeem S. [D-NY-8]",J000294,D,NY,8,1,Economics and Public Finance(1),"Intelligence Authorization Act for Fiscal Year 2022, Section 834 (""Plan for Artificial Intelligence Digital Ecosystem"")",Economics and Public Finance,7,2,https://api.congress.gov/v3/bill/117/hr/2471/committees?format=json,Enacted,https://www.congress.gov/bill/117th-congress/house-bill/2471/text?s=1&r=8&q=%7B%22search%22%3A%5B%22%5C%22artificial+intelligence%5C%22+OR+%5C%22machine+learning%5C%22+OR+%5C%22algorithm%5C%22%22%5D%7D
"Rep. Meeks, Gregory W. [D-NY-5]",M001137,D,NY,5,1,Commerce(1),Diversify Tech Act,Commerce,13,2,https://api.congress.gov/v3/bill/118/hr/7314/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/7314
"Rep. Morelle, Joseph D. [D-NY-25]",M001206,D,NY,25,1,Government Operations and Politics(1),AI Transparency in Elections Act of 2024,Government Operations and Politics,1,1,https://api.congress.gov/v3/bill/118/hr/8668/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8668
"Rep. Tonko, Paul [D-NY-20]",T000469,D,NY,20,2,Energy(1); Health(1),State Industrial Competitiveness Act of 2024 | SAFE Bet Act,Energy | Health,0 | 0,1 | 2,https://api.congress.gov/v3/bill/118/hr/8769/committees?format=json | https://api.congress.gov/v3/bill/118/hr/9590/committees?format=json,Defunct | Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8769/all-actions | https://www.congress.gov/bill/118th-congress/house-bill/9590/text
"Rep. Torres, Ritchie [D-NY-15]",T000486,D,NY,15,1,Commerce(1),AI Disclosure Act of 2023,Commerce,1,1,https://api.congress.gov/v3/bill/118/hr/3831/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3831
"Sen. Gillibrand, Kirsten E. [D-NY]",G000555,D,NY,,1,Commerce(1),Data Protection Act of 2024,Commerce,0,1,https://api.congress.gov/v3/bill/118/s/5170/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/senate-bill/5170
"Rep. LaLota, Nick [R-NY-1]",L000598,R,NY,1,1,"Science, Technology, Communications(1)",Detection Equipment and Technology Evaluation to Counter the Threat of Fentanyl and Xylazine Act of 2024,"Science, Technology, Communications",2,2,https://api.congress.gov/v3/bill/118/hr/8663/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8663/text
"Rep. Langworthy, Nicholas A. [R-NY-23]",L000600,R,NY,23,1,Crime and Law Enforcement(1),Child Exploitation and Artificial Intelligence Expert Commission Act of 2024,Crime and Law Enforcement,24,1,https://api.congress.gov/v3/bill/118/hr/8005/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/8005
"Rep. Molinaro, Marcus J. [R-NY-19]",M001221,R,NY,19,1,Transportation and Public Works(1),Drone Safety and Efficiency Act,Transportation and Public Works,7,1,https://api.congress.gov/v3/bill/118/hr/3983/committees?format=json,Defunct,https://www.congress.gov/bill/118th-congress/house-bill/3983
