Cosponsor_BioguideId,Cosponsor_FullName,Cosponsor_Party,Cosponsor_State,bill_count
C001134,"Rep. Caraveo, Yadira [D-CO-8]",D,CO,1
L000582,"Rep. Lieu, Ted [D-CA-36]",D,CA,1
C001055,"Rep. Case, Ed [D-HI-1]",D,HI,1
S001223,"Rep. Sykes, Emilia Strong [D-OH-13]",D,OH,1
J000309,"Rep. Jackson, Jonathan L. [D-IL-1]",D,IL,1
T000488,"Rep. Thanedar, Shri [D-MI-13]",D,MI,1
L000602,"Rep. Lee, Summer L. [D-PA-12]",D,PA,1
V000136,"Rep. Vasquez, Gabe [D-NM-2]",D,NM,1
P000197,"Rep. Pelosi, Nancy [D-CA-11]",D,CA,1
L000397,"Rep. Lofgren, Zoe [D-CA-18]",D,CA,1
D000629,"Rep. Davids, Sharice [D-KS-3]",D,KS,1
G000581,"Rep. Gonzalez, Vicente [D-TX-34]",D,TX,1
J000294,"Rep. Jeffries, Hakeem S. [D-NY-8]",D,NY,1
R000576,"Rep. Ruppersberger, C. A. Dutch [D-MD-2]",D,MD,1
C001112,"Rep. Carbajal, Salud O. [D-CA-24]",D,CA,1
S001207,"Rep. Sherrill, Mikie [D-NJ-11]",D,NJ,1
S001225,"Rep. Sorensen, Eric [D-IL-17]",D,IL,1
C001117,"Rep. Casten, Sean [D-IL-6]",D,IL,1
M001143,"Rep. McCollum, Betty [D-MN-4]",D,MN,1
S001208,"Rep. Slotkin, Elissa [D-MI-7]",D,MI,1
D000096,"Rep. Davis, Danny K. [D-IL-7]",D,IL,1
C001067,"Rep. Clarke, Yvette D. [D-NY-9]",D,NY,1
H001094,"Rep. Hoyle, Val T. [D-OR-4]",D,OR,1
K000380,"Rep. Kildee, Daniel T. [D-MI-8]",D,MI,1
W000822,"Rep. Watson Coleman, Bonnie [D-NJ-12]",D,NJ,1
G000559,"Rep. Garamendi, John [D-CA-8]",D,CA,1
P000618,"Rep. Porter, Katie [D-CA-47]",D,CA,1
S001216,"Rep. Schrier, Kim [D-WA-8]",D,WA,1
S001193,"Rep. Swalwell, Eric [D-CA-14]",D,CA,1
T000487,"Rep. Tokuda, Jill N. [D-HI-2]",D,HI,1
B001296,"Rep. Boyle, Brendan F. [D-PA-2]",D,PA,1
N000147,"Del. Norton, Eleanor Holmes [D-DC-At Large]",D,DC,1
T000468,"Rep. Titus, Dina [D-NV-1]",D,NV,1
L000562,"Rep. Lynch, Stephen F. [D-MA-8]",D,MA,1
N000194,"Rep. Nickel, Wiley [D-NC-13]",D,NC,1
S001215,"Rep. Stevens, Haley M. [D-MI-11]",D,MI,1
N000002,"Rep. Nadler, Jerrold [D-NY-12]",D,NY,1
C001078,"Rep. Connolly, Gerald E. [D-VA-11]",D,VA,1
G000599,"Rep. Goldman, Daniel S. [D-NY-10]",D,NY,1
C001061,"Rep. Cleaver, Emanuel [D-MO-5]",D,MO,1
T000482,"Rep. Trahan, Lori [D-MA-3]",D,MA,1
C001130,"Rep. Crockett, Jasmine [D-TX-30]",D,TX,1
H001038,"Rep. Higgins, Brian [D-NY-26]",D,NY,1
V000081,"Rep. Velazquez, Nydia M. [D-NY-7]",D,NY,1
J000298,"Rep. Jayapal, Pramila [D-WA-7]",D,WA,1
G000598,"Rep. Garcia, Robert [D-CA-42]",D,CA,1
W000817,"Sen. Warren, Elizabeth [D-MA]",D,MA,1
M001198,"Sen. Marshall, Roger [R-KS]",R,KS,1
G000597,"Rep. Garbarino, Andrew R. [R-NY-2]",R,NY,1
M001221,"Rep. Molinaro, Marcus J. [R-NY-19]",R,NY,1
N000193,"Rep. Nunn, Zachary [R-IA-3]",R,IA,1
W000790,"Sen. Warnock, Raphael G. [D-GA]",D,GA,1
C001113,"Sen. Cortez Masto, Catherine [D-NV]",D,NV,1
F000062,"Sen. Feinstein, Dianne [D-CA]",D,CA,1
B001320,"Sen. Butler, Laphonza R. [D-CA]",D,CA,1
B001223,"Rep. Bowman, Jamaal [D-NY-16]",D,NY,1
D000530,"Rep. Deluzio, Christopher R. [D-PA-17]",D,PA,1
S001168,"Rep. Sarbanes, John P. [D-MD-3]",D,MD,1
B001315,"Rep. Budzinski, Nikki [D-IL-13]",D,IL,1
H001085,"Rep. Houlahan, Chrissy [D-PA-6]",D,PA,1
S000344,"Rep. Sherman, Brad [D-CA-32]",D,CA,1
P000096,"Rep. Pascrell, Bill, Jr. [D-NJ-9]",D,NJ,1
G000592,"Rep. Golden, Jared F. [D-ME-2]",D,ME,1
H000874,"Rep. Hoyer, Steny H. [D-MD-5]",D,MD,1
S000510,"Rep. Smith, Adam [D-WA-9]",D,WA,1
M001160,"Rep. Moore, Gwen [D-WI-4]",D,WI,1
P000619,"Rep. Peltola, Mary Sattler [D-AK-At Large]",D,AK,1
P000607,"Rep. Pocan, Mark [D-WI-2]",D,WI,1
C001072,"Rep. Carson, Andre [D-IN-7]",D,IN,1
C001090,"Rep. Cartwright, Matt [D-PA-8]",D,PA,1
P000604,"Rep. Payne, Donald M., Jr. [D-NJ-10]",D,NJ,1
B001281,"Rep. Beatty, Joyce [D-OH-3]",D,OH,1
E000299,"Rep. Escobar, Veronica [D-TX-16]",D,TX,1
B001292,"Rep. Beyer, Donald S., Jr. [D-VA-8]",D,VA,1
S001156,"Rep. Sánchez, Linda T. [D-CA-38]",D,CA,1
C001066,"Rep. Castor, Kathy [D-FL-14]",D,FL,1
D000230,"Rep. Davis, Donald G. [D-NC-1]",D,NC,1
