,bioguide,name,party,state,doc_count
316,P000613,"Rep. Panetta, Jimmy [D-CA-19]",D,CA,10
18,W000779,"Sen. Wyden, Ron [D-OR]",D,OR,9
51,L000571,"Sen. Lummis, Cynthia M. [R-WY]",R,WY,9
46,P000595,"Sen. Peters, Gary C. [D-MI]",D,MI,9
49,G000581,"Rep. Gonzalez, Vicente [D-TX-15]",D,TX,9
450,C001056,"Sen. Cornyn, John [R-TX]",R,TX,9
498,T000469,"Rep. Tonko, Paul [D-NY-20]",D,NY,9
267,I000058,"Rep. Ivey, Glenn [D-MD-4]",D,MD,9
329,E000246,"Rep. Edwards, Chuck [R-NC-11]",R,NC,9
385,T000481,"Rep. Tlaib, Rashida [D-MI-12]",D,MI,9
328,W000828,"Rep. Williams, Brandon [R-NY-22]",R,NY,9
473,M000934,"Sen. Moran, Jerry [R-KS]",R,KS,9
163,T000476,"Sen. Tillis, Thomas [R-NC]",R,NC,9
55,H001076,"Sen. Hassan, Margaret Wood [D-NH]",D,NH,9
487,F000476,"Rep. Frost, Maxwell [D-FL-10]",D,FL,9
102,J000309,"Rep. Jackson, Jonathan L. [D-IL-1]",D,IL,9
109,M001224,"Rep. Moran, Nathaniel [R-TX-1]",R,TX,9
99,A000376,"Rep. Allred, Colin Z. [D-TX-32]",D,TX,9
58,R000618,"Sen. Ricketts, Pete [R-NE]",R,NE,9
417,W000795,"Rep. Wilson, Joe [R-SC-2]",R,SC,9
94,C001070,"Sen. Casey, Robert P., Jr. [D-PA]",D,PA,9
117,B001230,"Sen. Baldwin, Tammy [D-WI]",D,WI,9
118,L000575,"Sen. Lankford, James [R-OK]",R,OK,9
371,M001163,"Rep. Matsui, Doris O. [D-CA-7]",D,CA,9
412,J000288,"Rep. Johnson, Henry C. ""Hank"" [D-GA-4]",D,GA,8
1,W000814,"Rep. Weber, Randy K., Sr. [R-TX-14]",R,TX,8
25,S001194,"Sen. Schatz, Brian [D-HI]",D,HI,8
360,F000472,"Rep. Franklin, Scott [R-FL-18]",R,FL,8
476,M001153,"Sen. Murkowski, Lisa [R-AK]",R,AK,8
142,W000806,"Rep. Webster, Daniel [R-FL-11]",R,FL,8
249,P000048,"Rep. Pfluger, August [R-TX-11]",R,TX,8
13,E000296,"Rep. Evans, Dwight [D-PA-3]",D,PA,8
434,A000370,"Rep. Adams, Alma S. [D-NC-12]",D,NC,8
274,G000553,"Rep. Green, Al [D-TX-9]",D,TX,8
192,L000578,"Rep. LaMalfa, Doug [R-CA-1]",R,CA,8
323,I000056,"Rep. Issa, Darrell E. [R-CA-48]",R,CA,8
